sample_name	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	Flag_Number	Pool_region	Depth_Substrate_Sampling	Corresponding_DOM_Site	Spot_in_Site_for_Coring	ATTRIBUTE_Location 	ATTRIBUTE_linked_DOM_sample_number	DOM_Filter_LOT_number	ATTRIBUTE_Pool_region	ATTRIBUTE_submerged
Stromatolite_Tissue_103_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002013	electrospray ionization (positive)	reverse phase (C18)	S10-Core-4A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S10-Core-4A-Fri-low	not applicable	not applicable	not applicable	10	Lower	Core-middle	10	4	Schoenmakerskop	S10-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_104_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002014	electrospray ionization (positive)	reverse phase (C18)	S10-Core-2B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S10-Core-2B-Fri-low	not applicable	not applicable	not applicable	10	Lower	Core-bottom	10	2	Schoenmakerskop	S10-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_105_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002015	electrospray ionization (positive)	reverse phase (C18)	S10-Core-1A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S10-Core-1A-Sat-low	not applicable	not applicable	not applicable	10	Lower	Core-top	10	1	Schoenmakerskop	S10-DOM-1-Sat-low	6409030-04	Lower	flowing
Stromatolite_Tissue_106_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002016	electrospray ionization (positive)	reverse phase (C18)	S10-Core-1B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S10-Core-1B-Sat-low	not applicable	not applicable	not applicable	10	Lower	Core-middle	10	1	Schoenmakerskop	S10-DOM-1-Sat-low	6409030-04	Lower	flowing
Stromatolite_Tissue_107_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002017	electrospray ionization (positive)	reverse phase (C18)	S10-Core-1C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S10-Core-1C-Sat-low	not applicable	not applicable	not applicable	10	Lower	Core-bottom	10	1	Schoenmakerskop	S10-DOM-1-Sat-low	6409030-04	Lower	flowing
Stromatolite_Tissue_108_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002018	electrospray ionization (positive)	reverse phase (C18)	S10-Core-2A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S10-Core-2A-Sat-low	not applicable	not applicable	not applicable	10	Lower	Core-top	10	2	Schoenmakerskop	S10-DOM-1-Sat-low	6409030-04	Lower	flowing
Stromatolite_Tissue_109_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002019	electrospray ionization (positive)	reverse phase (C18)	S10-Core-2B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S10-Core-2B-Sat-low	not applicable	not applicable	not applicable	10	Lower	Core-middle	10	2	Schoenmakerskop	S10-DOM-1-Sat-low	6409030-04	Lower	flowing
Stromatolite_Tissue_11_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001921	electrospray ionization (positive)	reverse phase (C18)	S1-Core-2B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-2B-Sat-low	not applicable	not applicable	not applicable	1	Inflow	Core-middle	1	4	Schoenmakerskop	S1-DOM-1-Sat-low	6409030-04	Inflow	flowing
Stromatolite_Tissue_110_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002020	electrospray ionization (positive)	reverse phase (C18)	S10-Core-2C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S10-Core-2C-Sat-low	not applicable	not applicable	not applicable	10	Lower	Core-bottom	10	2	Schoenmakerskop	S10-DOM-1-Sat-low	6409030-04	Lower	flowing
Stromatolite_Tissue_111_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002021	electrospray ionization (positive)	reverse phase (C18)	S8-Core-1A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-1A-Sat-low	not applicable	not applicable	not applicable	8	Lower	Core-top	8	1	Schoenmakerskop	S8-DOM-1-Sat-low	6409030-04	Lower	flowing
Stromatolite_Tissue_112_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002022	electrospray ionization (positive)	reverse phase (C18)	S8-Core-1B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-1B-Sat-low	not applicable	not applicable	not applicable	8	Lower	Core-middle	8	1	Schoenmakerskop	S8-DOM-1-Sat-low	6409030-04	Lower	flowing
Stromatolite_Tissue_113_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002023	electrospray ionization (positive)	reverse phase (C18)	S8-Core-1C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-1C-Sat-low	not applicable	not applicable	not applicable	8	Lower	Core-bottom	8	1	Schoenmakerskop	S8-DOM-1-Sat-low	6409030-04	Lower	flowing
Stromatolite_Tissue_114_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002024	electrospray ionization (positive)	reverse phase (C18)	S8-Core-2A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-2A-Sat-low	not applicable	not applicable	not applicable	8	Lower	Core-top	8	2	Schoenmakerskop	S8-DOM-1-Sat-low	6409030-04	Lower	flowing
Stromatolite_Tissue_115_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002025	electrospray ionization (positive)	reverse phase (C18)	S8-Core-2B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-2B-Sat-low	not applicable	not applicable	not applicable	8	Lower	Core-middle	8	2	Schoenmakerskop	S8-DOM-1-Sat-low	6409030-04	Lower	flowing
Stromatolite_Tissue_116_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002026	electrospray ionization (positive)	reverse phase (C18)	S8-Core-2C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S8-Core-2C-Fri-low	not applicable	not applicable	not applicable	8	Lower	Core-bottom	8	2	Schoenmakerskop	S8-DOM-1-Sat-low	6409030-04	Lower	flowing
Stromatolite_Tissue_12_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001922	electrospray ionization (positive)	reverse phase (C18)	S1-Core-2C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-2C-Sat-low	not applicable	not applicable	not applicable	1	Inflow	Core-bottom	1	4	Schoenmakerskop	S1-DOM-1-Sat-low	6409030-04	Inflow	flowing
Stromatolite_Tissue_13_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001923	electrospray ionization (positive)	reverse phase (C18)	S2-Core-1A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S2-Core-1A-Fri-low	not applicable	not applicable	not applicable	2	Inflow	Core-top	2	1	Schoenmakerskop	S2-DOM-1-Fri-low	6409030-04	Inflow	submerged
Stromatolite_Tissue_14_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001924	electrospray ionization (positive)	reverse phase (C18)	S2-Core-1B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S2-Core-1B-Fri-low	not applicable	not applicable	not applicable	2	Inflow	Core-middle	2	1	Schoenmakerskop	S2-DOM-1-Fri-low	6409030-04	Inflow	submerged
Stromatolite_Tissue_15_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001925	electrospray ionization (positive)	reverse phase (C18)	S2-Core-1C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S2-Core-1C-Fri-low	not applicable	not applicable	not applicable	2	Inflow	Core-bottom	2	1	Schoenmakerskop	S2-DOM-1-Fri-low	6409030-04	Inflow	submerged
Stromatolite_Tissue_17_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001927	electrospray ionization (positive)	reverse phase (C18)	S2-Core-2B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S2-Core-2B-Fri-low	not applicable	not applicable	not applicable	2	Inflow	Core-middle	2	2	Schoenmakerskop	S2-DOM-1-Fri-low	6409030-04	Inflow	submerged
Stromatolite_Tissue_18_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001928	electrospray ionization (positive)	reverse phase (C18)	S2-Core-2C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S2-Core-2C-Fri-low	not applicable	not applicable	not applicable	2	Inflow	Core-bottom	2	2	Schoenmakerskop	S2-DOM-1-Fri-low	6409030-04	Inflow	submerged
Stromatolite_Tissue_19_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001929	electrospray ionization (positive)	reverse phase (C18)	S2-Core-1A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S2-Core-1A-Sat-low	not applicable	not applicable	not applicable	2	Inflow	Core-top	2	3	Schoenmakerskop	S2-DOM-1-Sat-low	6409030-04	Inflow	submerged
Stromatolite_Tissue_1A_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002027	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-1A	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-1A	not applicable	not applicable	not applicable	3	Middle	0-1cm	3	1	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-05	Middle	flowing
Stromatolite_Tissue_1B_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002028	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-1B	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-1B	not applicable	not applicable	not applicable	3	Middle	1-2cm	3	1	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-06	Middle	flowing
Stromatolite_Tissue_1C_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002029	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-1C	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-1C	not applicable	not applicable	not applicable	3	Middle	2-3cm	3	1	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-07	Middle	flowing
Stromatolite_Tissue_1D_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002030	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-1D	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-1D	not applicable	not applicable	not applicable	3	Middle	3-4cm	3	1	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-08	Middle	flowing
Stromatolite_Tissue_1E_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002031	electrospray ionization (positive)	reverse phase (C18)	S3-DeepCore-1E	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-DeepCore-1E	not applicable	not applicable	not applicable	3	Middle	4-5cm	3	1	Schoenmakerskop	S3-DOM-23-Sat-low	6409030-09	Middle	flowing
Stromatolite_Tissue_2_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001912	electrospray ionization (positive)	reverse phase (C18)	S1-Core-1B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-1B-Fri-low	not applicable	not applicable	not applicable	1	Inflow	Core-middle	1	1	Schoenmakerskop	S1-DOM-1-Fri-low	6409030-04	Inflow	flowing
Stromatolite_Tissue_20_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001930	electrospray ionization (positive)	reverse phase (C18)	S2-Core-1B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S2-Core-1B-Sat-low	not applicable	not applicable	not applicable	2	Inflow	Core-middle	2	3	Schoenmakerskop	S2-DOM-1-Sat-low	6409030-04	Inflow	submerged
Stromatolite_Tissue_21_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001931	electrospray ionization (positive)	reverse phase (C18)	S2-Core-1C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S2-Core-1C-Sat-low	not applicable	not applicable	not applicable	2	Inflow	Core-bottom	2	3	Schoenmakerskop	S2-DOM-1-Sat-low	6409030-04	Inflow	submerged
Stromatolite_Tissue_22_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001932	electrospray ionization (positive)	reverse phase (C18)	S2-Core-2A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S2-Core-2A-Sat-low	not applicable	not applicable	not applicable	2	Inflow	Core-top	2	4	Schoenmakerskop	S2-DOM-1-Sat-low	6409030-04	Inflow	submerged
Stromatolite_Tissue_23_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001933	electrospray ionization (positive)	reverse phase (C18)	S2-Core-2B-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S2-Core-2B-Sat-low	not applicable	not applicable	not applicable	2	Inflow	Core-middle	2	4	Schoenmakerskop	S2-DOM-1-Sat-low	6409030-04	Inflow	submerged
Stromatolite_Tissue_24_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001934	electrospray ionization (positive)	reverse phase (C18)	S2-Core-2C-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S2-Core-2C-Sat-low	not applicable	not applicable	not applicable	2	Inflow	Core-bottom	2	4	Schoenmakerskop	S2-DOM-1-Sat-low	6409030-04	Inflow	submerged
Stromatolite_Tissue_25_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001935	electrospray ionization (positive)	reverse phase (C18)	S3-Core-1A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-Core-1A-Fri-low	not applicable	not applicable	not applicable	3	Middle	Core-top	3	1	Schoenmakerskop	S3-DOM-1-Fri-low	6409030-04	Middle	flowing
Stromatolite_Tissue_26_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001936	electrospray ionization (positive)	reverse phase (C18)	S3-Core-1B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-Core-1B-Fri-low	not applicable	not applicable	not applicable	3	Middle	Core-middle	3	1	Schoenmakerskop	S3-DOM-1-Fri-low	6409030-04	Middle	flowing
Stromatolite_Tissue_27_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001937	electrospray ionization (positive)	reverse phase (C18)	S3-Core-1C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-Core-1C-Fri-low	not applicable	not applicable	not applicable	3	Middle	Core-bottom	3	1	Schoenmakerskop	S3-DOM-1-Fri-low	6409030-04	Middle	flowing
Stromatolite_Tissue_28_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001938	electrospray ionization (positive)	reverse phase (C18)	S3-Core-2A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-Core-2A-Fri-low	not applicable	not applicable	not applicable	3	Middle	Core-top	3	2	Schoenmakerskop	S3-DOM-1-Fri-low	6409030-04	Middle	flowing
Stromatolite_Tissue_29_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001939	electrospray ionization (positive)	reverse phase (C18)	S3-Core-2B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S3-Core-2B-Fri-low	not applicable	not applicable	not applicable	3	Middle	Core-middle	3	2	Schoenmakerskop	S3-DOM-1-Fri-low	6409030-04	Middle	flowing
